wavelen,Nr,Ni
0.263,1.48777,0.0133
0.321,1.49413,0.0127
0.44,1.49915,0.00767169
0.46,1.49948,0.00714722
0.5,1.5,0.00548876
0.6,1.49905,0.00168097
0.63,1.49813,0.00125609
0.7,1.4967,0.000936538
0.8,1.49532,0.00106115
0.9,1.49436,0.00133472
0.95,1.49391,0.00145313
1,1.49362,0.00176538
1.05,1.49335,0.00170186
1.1,1.4929,0.00176022
1.15,1.49252,0.00200774
1.19,1.49226,0.00205819
1.25,1.49183,0.00225311
1.3,1.4915,0.00234871
1.415,1.49066,0.00259263
1.55,1.48942,0.00271742
1.675,1.48821,0.00324627
1.75,1.48748,0.00332823
1.9,1.48583,0.00381539
1.92,1.4856,0.00378706
2.13,1.48271,0.00430956
2.2,1.48152,0.00425189
2.3,1.47929,0.00432431
2.4,1.4765,0.00461725
2.48,1.47368,0.00494658
2.55,1.47039,0.00534756
2.64,1.46354,0.00625749
2.7,1.45458,0.00935042
2.75,1.45018,0.0237158
2.8,1.4549,0.0356865
2.85,1.4621,0.0409125
2.92,1.47231,0.0468066
2.94,1.47673,0.0480125
3.05,1.49033,0.0390127
3.1,1.49318,0.0353293
3.2,1.4954,0.0268185
3.3,1.49445,0.0208511
3.4,1.49165,0.0157628
3.5,1.48821,0.013446
3.6,1.48485,0.0113173
3.7,1.48133,0.0105164
3.8,1.47819,0.0102657
3.9,1.4752,0.0102485
4,1.47322,0.0110896
4.0085,1.47306,0.0105546
4.0179,1.47268,0.0105609
4.0273,1.47239,0.0105567
4.0367,1.47213,0.0105651
4.0461,1.47189,0.0105714
4.0555,1.47165,0.0105756
4.0649,1.47141,0.0105735
4.0743,1.47118,0.0105735
4.0837,1.47094,0.0105714
4.0931,1.4707,0.0105798
4.1024,1.47047,0.0105777
4.1118,1.47024,0.0105819
4.1212,1.47001,0.010584
4.1306,1.46978,0.0105798
4.14,1.46954,0.0105714
4.1494,1.4693,0.0105798
4.1588,1.46906,0.0105798
4.1682,1.46882,0.0105819
4.1776,1.46859,0.010584
4.187,1.46835,0.0105882
4.1964,1.46811,0.0105861
4.2057,1.46787,0.0105882
4.2151,1.46763,0.0105945
4.2245,1.46739,0.0106029
4.2339,1.46714,0.0106113
4.2433,1.46691,0.0106134
4.2527,1.46666,0.0106155
4.2621,1.46642,0.0106176
4.2715,1.46617,0.0106281
4.2809,1.46592,0.0106386
4.2903,1.46568,0.0106449
4.2997,1.46543,0.0106449
4.3091,1.46519,0.0106533
4.3184,1.46493,0.0106554
4.3278,1.46468,0.0106617
4.3372,1.46443,0.0106722
4.3466,1.46417,0.0106785
4.356,1.46392,0.010689
4.3654,1.46366,0.0107016
4.3748,1.4634,0.0107163
4.3842,1.46314,0.0107268
4.3936,1.46287,0.0107499
4.403,1.46261,0.0107688
4.4124,1.46236,0.0107856
4.4217,1.4621,0.0107982
4.4311,1.46183,0.0108255
4.4405,1.46157,0.0108381
4.4499,1.4613,0.0108612
4.4593,1.46104,0.0108843
4.4687,1.46077,0.0109095
4.4781,1.4605,0.0109347
4.4875,1.46023,0.0109683
4.4969,1.45997,0.0109914
4.5063,1.4597,0.0110145
4.5157,1.45942,0.0110481
4.525,1.45916,0.0110796
4.5344,1.45889,0.011109
4.5438,1.45861,0.0111447
4.5532,1.45834,0.0111783
4.5626,1.45807,0.0112182
4.572,1.4578,0.0112497
4.5814,1.45752,0.0112917
4.5908,1.45725,0.0113358
4.6002,1.45698,0.0113778
4.6096,1.45671,0.0114114
4.619,1.45643,0.0114555
4.6284,1.45616,0.0114954
4.6377,1.45589,0.0115416
4.6471,1.45561,0.0115857
4.6565,1.45534,0.011634
4.6659,1.45506,0.0116823
4.6753,1.45479,0.0117264
4.6847,1.45452,0.0117705
4.6941,1.45424,0.0118167
4.7035,1.45396,0.0118692
4.7129,1.45369,0.0119259
4.7223,1.45341,0.0119679
4.7317,1.45314,0.0120204
4.741,1.45286,0.0120666
4.7504,1.45258,0.0121233
4.7598,1.4523,0.0121737
4.7692,1.45202,0.0122262
4.7786,1.45174,0.0122892
4.788,1.45147,0.0123417
4.7974,1.45118,0.0123921
4.8068,1.4509,0.0124572
4.8162,1.45062,0.0125118
4.8256,1.45034,0.0125685
4.835,1.45006,0.0126252
4.8444,1.44977,0.012684
4.8537,1.44948,0.0127491
4.8631,1.4492,0.0128142
4.8725,1.44891,0.0128814
4.8819,1.44863,0.0129549
4.8913,1.44835,0.0130221
4.9007,1.44807,0.0131019
4.9101,1.44778,0.0131691
4.9195,1.4475,0.013251
4.9289,1.44721,0.0133245
4.9383,1.44694,0.0134085
4.9477,1.44666,0.0134883
4.957,1.44639,0.0135786
4.9664,1.44613,0.0136626
4.9758,1.44587,0.0137466
4.9852,1.44561,0.0138432
4.9946,1.44537,0.0139356
5.5,1.42938,0.0165346
6,1.40913,0.0191058
6.5,1.38198,0.021677
7.824,1.17985,0.0284856
7.94819,1.12229,0.0614971
8.07639,1.06653,0.112193
8.20879,1.01661,0.193003
8.3456,0.996763,0.312821
8.48705,1.03082,0.437154
8.63338,1.11373,0.54137
8.78484,1.1929,0.558977
8.94171,1.25061,0.613097
9.10429,1.34266,0.669412
9.27289,1.45406,0.675093
9.44785,1.54829,0.643164
9.62954,1.6176,0.602982
9.81835,1.68971,0.575259
10.0147,1.75403,0.497434
10.2191,1.78472,0.42024
10.432,1.7844,0.334673
10.654,1.76354,0.288798
10.8856,1.74442,0.254141
11.1275,1.73813,0.241711
11.3804,1.75283,0.211733
11.645,1.73546,0.127199
11.9223,1.67611,0.0944686
12.2131,1.62251,0.093539
12.5184,1.59526,0.115853
12.8394,1.57132,0.101905
17.8834,1.40696,0.33831
18.5458,1.42059,0.447366
19.2591,1.47408,0.475476
20.0294,1.50114,0.503511
20.864,1.55694,0.57496
21.7711,1.63738,0.575856
22.7607,1.6869,0.560312
23.8446,1.7377,0.575585
25.0368,1.82012,0.565047
25.641,1.84305,0.507069
26.3158,1.84498,0.493778
27.027,1.84627,0.461421
27.7778,1.83232,0.449142
28.5714,1.81836,0.449961
29.4118,1.8117,0.464998
30.303,1.81394,0.483434
31.25,1.82123,0.502434
32.2581,1.83346,0.528071
33.3333,1.85394,0.557765
34.4828,1.88899,0.596083
35.7143,1.94857,0.633739
37.037,2.03596,0.654599
38.4615,2.13078,0.628481
40,2.21889,0.588513
41.6667,2.30425,0.509242
43.4783,2.34362,0.385193
45.4545,2.33306,0.282779
47.619,2.29906,0.207487
50,2.26167,0.156135
50.6172,2.25119,0.145583
52.7692,2.21747,0.122441
55.0128,2.18995,0.107093
57.3517,2.17274,0.0965746
59.7901,2.15013,0.0891458
62.3321,2.14042,0.0837306
64.9822,2.12888,0.0796302
67.745,2.12262,0.0761077
70.6253,2.11221,0.0728444
73.628,2.10228,0.0696271
76.7584,2.09993,0.0663216
80.0219,2.0983,0.0628556
83.4241,2.0993,0.0592049
86.9709,2.08507,0.0553825
90.6686,2.08919,0.0522408
94.5235,2.08676,0.048868
98.5423,2.08826,0.0457129
