wavelen,Nr,Ni
3.00E-01,1.3339,5.50E-09
3.50E-01,1.3249,3.77E-09
4.00E-01,1.3194,2.71E-09
4.10E-01,1.3185,2.51E-09
4.20E-01,1.3177,2.26E-09
4.30E-01,1.317,2.08E-09
4.40E-01,1.3163,1.91E-09
4.50E-01,1.3157,1.54E-09
4.60E-01,1.3151,1.53E-09
4.70E-01,1.3145,1.55E-09
4.80E-01,1.314,1.64E-09
4.90E-01,1.3135,1.78E-09
5.00E-01,1.313,1.91E-09
5.10E-01,1.3126,2.14E-09
5.20E-01,1.3122,2.26E-09
5.30E-01,1.3118,2.54E-09
5.40E-01,1.3114,2.93E-09
5.50E-01,1.311,3.11E-09
5.60E-01,1.3106,3.29E-09
5.70E-01,1.3103,3.52E-09
5.80E-01,1.31,4.04E-09
5.90E-01,1.3097,4.88E-09
6.00E-01,1.3094,5.73E-09
6.10E-01,1.3091,6.89E-09
6.20E-01,1.3088,8.58E-09
6.30E-01,1.3085,1.04E-08
6.40E-01,1.3083,1.22E-08
6.50E-01,1.308,1.43E-08
6.60E-01,1.3078,1.66E-08
6.70E-01,1.3076,1.89E-08
6.80E-01,1.3073,2.09E-08
6.90E-01,1.3071,2.40E-08
7.00E-01,1.3069,2.90E-08
7.10E-01,1.3067,3.44E-08
7.20E-01,1.3065,4.03E-08
7.30E-01,1.3062,4.30E-08
7.40E-01,1.306,4.92E-08
7.50E-01,1.3058,5.87E-08
7.60E-01,1.3057,7.08E-08
7.70E-01,1.3055,8.58E-08
7.80E-01,1.3053,1.02E-07
7.90E-01,1.3051,1.18E-07
8.00E-01,1.3049,1.34E-07
8.10E-01,1.3047,1.40E-07
8.20E-01,1.3045,1.43E-07
8.30E-01,1.3044,1.45E-07
8.40E-01,1.3042,1.51E-07
8.50E-01,1.304,1.83E-07
8.60E-01,1.3038,2.15E-07
8.70E-01,1.3037,2.65E-07
8.80E-01,1.3035,3.35E-07
8.90E-01,1.3033,3.92E-07
9.00E-01,1.3032,4.20E-07
9.10E-01,1.303,4.44E-07
9.20E-01,1.3028,4.74E-07
9.30E-01,1.3027,5.11E-07
9.40E-01,1.3025,5.53E-07
9.50E-01,1.3023,6.02E-07
9.60E-01,1.3022,7.55E-07
9.70E-01,1.302,9.26E-07
9.80E-01,1.3018,1.12E-06
9.90E-01,1.3017,1.33E-06
1.00E+00,1.3015,1.62E-06
1.01E+00,1.3013,2.00E-06
1.02E+00,1.3012,2.25E-06
1.03E+00,1.301,2.33E-06
1.04E+00,1.3008,2.33E-06
1.05E+00,1.3006,2.17E-06
1.06E+00,1.3005,1.96E-06
1.07E+00,1.3003,1.81E-06
1.08E+00,1.3001,1.74E-06
1.09E+00,1.3,1.73E-06
1.10E+00,1.2998,1.70E-06
1.11E+00,1.2996,1.76E-06
1.12E+00,1.2995,1.82E-06
1.13E+00,1.2993,2.04E-06
1.14E+00,1.2991,2.25E-06
1.15E+00,1.2989,2.29E-06
1.16E+00,1.2987,3.04E-06
1.17E+00,1.2985,3.84E-06
1.18E+00,1.2984,4.77E-06
1.19E+00,1.2982,5.76E-06
1.20E+00,1.298,6.71E-06
1.21E+00,1.2978,8.66E-06
1.22E+00,1.2976,1.02E-05
1.23E+00,1.2974,1.13E-05
1.24E+00,1.2972,1.22E-05
1.25E+00,1.297,1.29E-05
1.26E+00,1.2969,1.32E-05
1.27E+00,1.2967,1.35E-05
1.28E+00,1.2965,1.33E-05
1.29E+00,1.2963,1.32E-05
1.30E+00,1.2961,1.32E-05
1.31E+00,1.2958,1.31E-05
1.32E+00,1.2956,1.32E-05
1.33E+00,1.2954,1.32E-05
1.34E+00,1.2952,1.34E-05
1.35E+00,1.295,1.39E-05
1.36E+00,1.2948,1.42E-05
1.37E+00,1.2945,1.48E-05
1.38E+00,1.2943,1.58E-05
1.39E+00,1.2941,1.74E-05
1.40E+00,1.2938,1.98E-05
1.41E+00,1.2936,2.50E-05
1.42E+00,1.2933,5.40E-05
1.43E+00,1.293,1.04E-04
1.44E+00,1.2927,2.03E-04
1.45E+00,1.2925,2.71E-04
1.46E+00,1.2923,3.51E-04
1.47E+00,1.2921,4.30E-04
1.48E+00,1.2919,5.18E-04
1.49E+00,1.2917,5.86E-04
1.50E+00,1.2915,5.90E-04
1.52E+00,1.2913,5.64E-04
1.53E+00,1.2911,5.48E-04
1.54E+00,1.2908,5.27E-04
1.56E+00,1.2903,4.39E-04
1.59E+00,1.2896,3.70E-04
1.61E+00,1.2889,3.37E-04
1.65E+00,1.2878,2.41E-04
1.68E+00,1.2869,1.89E-04
1.70E+00,1.2862,1.66E-04
1.73E+00,1.2852,1.45E-04
1.76E+00,1.2841,1.28E-04
1.80E+00,1.2826,1.03E-04
1.83E+00,1.2814,8.60E-05
1.84E+00,1.2809,8.22E-05
1.85E+00,1.2805,8.03E-05
1.86E+00,1.28,9.90E-05
1.87E+00,1.2795,1.50E-04
1.89E+00,1.2785,2.95E-04
1.91E+00,1.2777,4.69E-04
1.92E+00,1.2769,7.62E-04
1.94E+00,1.2761,1.01E-03
1.96E+00,1.2754,1.31E-03
1.98E+00,1.2747,1.54E-03
2.00E+00,1.274,1.59E-03
2.02E+00,1.2733,1.54E-03
2.04E+00,1.2724,1.41E-03
2.06E+00,1.2714,1.24E-03
2.08E+00,1.2703,1.07E-03
2.11E+00,1.269,8.41E-04
2.13E+00,1.2674,5.65E-04
2.15E+00,1.2659,4.32E-04
2.17E+00,1.2644,3.50E-04
2.19E+00,1.2628,2.87E-04
2.22E+00,1.2604,2.21E-04
2.24E+00,1.2586,2.03E-04
2.25E+00,1.2577,2.03E-04
2.26E+00,1.2567,2.14E-04
2.27E+00,1.2558,2.32E-04
2.29E+00,1.2538,2.89E-04
2.31E+00,1.2518,3.81E-04
2.33E+00,1.2497,4.62E-04
2.35E+00,1.2475,5.48E-04
2.37E+00,1.2451,6.18E-04
2.39E+00,1.2427,6.80E-04
2.41E+00,1.24,7.30E-04
2.43E+00,1.2373,7.82E-04
2.46E+00,1.2327,8.48E-04
2.50E+00,1.2258,9.25E-04
2.52E+00,1.222,9.20E-04
2.55E+00,1.2155,8.92E-04
2.57E+00,1.2118,8.70E-04
2.58E+00,1.2079,8.90E-04
2.59E+00,1.2051,9.30E-04
2.60E+00,1.2021,1.01E-03
2.62E+00,1.1957,1.35E-03
2.68E+00,1.1741,3.42E-03
2.73E+00,1.1473,7.92E-03
2.78E+00,1.1077,2.00E-02
2.82E+00,1.0674,3.80E-02
2.83E+00,1.0476,5.20E-02
2.85E+00,1.0265,6.80E-02
2.87E+00,1.0036,9.23E-02
2.88E+00,0.982,1.27E-01
2.90E+00,0.965,1.69E-01
2.92E+00,0.9596,2.21E-01
2.93E+00,0.9727,2.76E-01
2.95E+00,0.9917,3.12E-01
2.97E+00,1.0067,3.47E-01
2.99E+00,1.0219,3.88E-01
